Name,Score
aarch64,833
aarch64 rev 2 (aarch64),2409
aarch64 rev 4 (aarch64),1813
ac8257v/wab,788
ac8259v/wab,910
allwinner a133,668
allwinner a523,1904
allwinner a527,2187
allwinner a733,3109
allwinner h618,653
allwinner h728,1953
amd 3015ce,2099
amd 3015e,2608
amd 3020e,2412
amd 4700s,17800
amd a10 micro-6700t apu,1426
amd a10 pro-7350b apu,1867
amd a10 pro-7800b apu,3304
amd a10 pro-7850b apu,3441
amd a10-4600m apu,1947
amd a10-4655m apu,1655
amd a10-4657m apu,1759
amd a10-5700 apu,2743
amd a10-5745m apu,1767
amd a10-5750m apu,2055
amd a10-5757m apu,1996
amd a10-5800b apu,3050
amd a10-5800k apu,2960
amd a10-6700 apu,3113
amd a10-6700t apu,2299
amd a10-6790k apu,3094
amd a10-6800b apu,3155
amd a10-6800k apu,3195
amd a10-7300 apu,1739
amd a10-7400p,2120
amd a10-7700k apu,3195
amd a10-7800 apu,3220
amd a10-7850k apu,3385
amd a10-7860k,3272
amd a10-7870k,3495
amd a10-7890k,3541
amd a10-8700p,2244
amd a10-8750,3251
amd a10-8850,3438
amd a10-9600p,2355
amd a10-9620p,2501
amd a10-9630p,2993
amd a10-9700,3536
amd a10-9700e,3250
amd a12-9700p,2422
amd a12-9720p,2624
amd a12-9730p,2979
amd a12-9800,3695
amd a12-9800e,3471
amd a4 micro-6400t apu,1082
amd a4 pro-3340b,1709
amd a4 pro-7300b apu,1458
amd a4 pro-7350b,1544
amd a4-1200 apu,375
amd a4-1250 apu,418
amd a4-1350 apu,911
amd a4-3300 apu,956
amd a4-3300m apu,723
amd a4-3305m apu,767
amd a4-3310mx apu,800
amd a4-3320m apu,668
amd a4-3330mx apu,747
amd a4-3400 apu,1089
amd a4-3420 apu,1067
amd a4-4000 apu,1146
amd a4-4020 apu,1269
amd a4-4300m apu,967
amd a4-4355m apu,806
amd a4-5000 apu,1283
amd a4-5050 apu,1328
amd a4-5100 apu,1260
amd a4-5150m apu,927
amd a4-5300 apu,1366
amd a4-5300b apu,1246
amd a4-6210 apu,1507
amd a4-6250j apu,1671
amd a4-6300 apu,1429
amd a4-6300b apu,1328
amd a4-6320 apu,1530
amd a4-7210 apu,1670
amd a4-7300 apu,1534
amd a4-9120,1226
amd a4-9120c,885
amd a4-9120e,846
amd a4-9125,1206
amd a6 micro-6500t apu,1146
amd a6 pro-7050b apu,971
amd a6 pro-7400b,1640
amd a6-1450 apu,1079
amd a6-3400m apu,1218
amd a6-3410mx apu,1274
amd a6-3420m apu,1305
amd a6-3430mx apu,1389
amd a6-3500 apu,1438
amd a6-3600 apu,1697
amd a6-3620 apu,1869
amd a6-3650 apu,2098
amd a6-3670 apu,2198
amd a6-4400m apu,996
amd a6-4455m apu,802
amd a6-5200 apu,1671
amd a6-5345m apu,1122
amd a6-5350m apu,1199
amd a6-5357m apu,1192
