Name,Score
256mb ddr radeon 9800 xt,37
6fdf:ff,9528
7900 mod - radeon hd 6520g,610
7900 mod - radeon hd 6550d,892
"@oem27.inf,%winmv2%;mv video hook driver2",1707
a10-12q,9493
a10-24q,22158
a10-4q,2764
a10-8q,7038
a100-sxm4-40gb,13326
a10g,12907
a16,5280
a16-1q,3430
a16-2b,2317
a16-2q,4747
a16-4q,4386
a40-24q,3317
a40-48q,10436
a6 micro-6500t quad-core apu with radeonr4,220
abit siluro t400,3
all-in-wonder 9000,4
all-in-wonder 9800,23
all-in-wonder radeon 8500dv,5
all-in-wonder x1800xl,30
all-in-wonder x1900,127
all-in-wonder x800 gt,84
amd ryzen z1 extreme,6477
amigamerlin 3.1-r1 for voodoo 4 4500 pci,3
asus a7000,9
asus agp-v3800pro v31.40h,4
asus eah4870x2,496
asus gtx 650 fml ii ec-egpu,720
asus v9520-x v62.11,7
b8dkmdap,4557
barco mxrt 1450,205
barco mxrt 2600,900
barco mxrt 5400,1161
barco mxrt 5450,1079
barco mxrt 5500,2701
barco mxrt 5600,2465
barco mxrt 7100,180
barco mxrt 7400,900
barco mxrt 7500,3753
barco mxrt 7600,4943
basicdisplay,69
beijing fantasy technology fantasy ii-m,296
carrizo 9874,226
citrix indirect display adapter,1888
cmp 30hx,5263
cmp 40hx,8944
connect 3d radeon x300,36
custom gpu 0405,2923
custom gpu 0932,3254
cxdisplay device,13988
dell 8100,2
dell 8200,4
diamond x1300-pcie 256mb,70
eah5450,134
eizo quadro med-xn51lp,4951
eizo quadro med-xn72,9036
eizo quadro med-xn92,17035
embedded radeon e9173,1761
eng sample: 100-000000560-40_y,5655
eng sample: 100-000000561-40_y,4206
extreme ax850 pro,120
firegl t2-128,30
firegl v3100,52
firegl v3200,84
firegl v3300,70
firegl v3350,68
firegl v3400,103
firegl v3600,179
firegl v5100,92
firegl v5200,114
firegl v5600,341
firegl v7100,71
firegl v7200,116
firegl v7300,128
firegl v7350,110
firegl v7600,615
firegl v7700,660
firegl v8600,838
firegl v8650,550
firegl x1,59
firemv 2200 pci,1
firemv 2200 pcie,36
firemv 2250,45
firemv 2260,117
firemv 2400 pcie,11
firemv 2450,73
firepro 2260,112
firepro 2270,142
firepro 2450,51
firepro 2460,170
firepro 3d v3700,178
firepro 3d v3750,341
firepro 3d v3800,472
firepro 3d v4800,853
firepro 3d v5700,546
firepro 3d v5800,1231
firepro 3d v7750,545
firepro 3d v7800,1867
firepro 3d v8700,1206
firepro 3d v8750,1271
firepro 3d v8800,2437
firepro 3d v9800,2811
firepro m2000,425
firepro m4000,1593
firepro m4000 mobility pro,1629
firepro m40003,1364
firepro m4100,1059
firepro m4150,1020
firepro m4170,1188
firepro m5100,1874
